,Alloy-A,Alloy-B,Alloy-C,Alloy-D,Alloy-E,Alloy-F,Alloy-G,Alloy-H,Cast-A,Cast-B,Polymer-A,Polymer-B,Polymer-C
Cr,0.05,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,x,x,x
Ni,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,x,x,x
Mo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,x,x,x
Mn,0.1,0.02,0.0,0.05,0.0,0.02,0.0,0.0,0.0,0.0,x,x,x
Mg,0.8,0.59,2.45,1.43,0.51,0.59,1.05,1.8,0.3,0.0,x,x,x
Si,0.15,0.41,0.0,0.1,0.41,0.46,0.0,0.0,0.0,0.0,x,x,x
Zn,0.13,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,x,x,x
Ti,0.0,0.0,0.0,0.02,0.0,2.0,0.0,5.5,0.0,0.0,x,x,x
Sn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,x,x,x
Cu,0.1,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,x,x,x
Pb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,x,x,x
Fe,0.35,0.1,0.26,0.26,0.0,0.17,0.0,0.0,0.0,0.0,x,x,x
Al,98.32,98.88,97.11,98.03,99.08,96.76,98.95,92.68,99.7,100.0,x,x,x
,sample data,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
% RC,kg CO2e/kg,,,,,,,,,,,,
0%,5.4,5.3,5.85,5.55,5.33,5.32,5.3,5.5,5.15,5.18,5.2,6.4,4.8
25%,4.15,4.09,4.5,4.28,4.1,4.1,4.09,4.25,3.98,4.0,4.25,n/a,n/a
30%,3.9,3.84,4.23,4.03,3.86,3.86,3.84,4.0,3.74,3.76,4.2,n/a,n/a
50%,2.91,2.87,3.15,3.0,2.88,2.88,2.87,2.98,2.8,2.81,3.28,n/a,n/a
75%,1.68,1.66,1.79,1.72,1.66,1.66,1.66,1.71,1.62,1.63,2.38,n/a,n/a
100%,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,1.68,n/a,n/a
