program,proxyProject,proxyConfig,name,component,subcomponent,materialCategory,materialName,substanceGroup,substanceName,productGroup,productLine,status,massMobilizedBioCert,massMobilizedPrimary,massMobilizedRcCert,massMobilizedRen,massShippedBioCert,massShippedPrimary,massShippedRcCert,massShippedRen,materialMassShipped,materialMassMobilized,date,lastUpdated
LP400,,,Laptop C,Housing,Housing,Aluminum,Ti,Aluminum,Ti,Laptop,,active,0,51.36823837447562,62.78340245769244,0,0,51.36823837447562,62.78340245769244,0,114.15164083216806,114.15164083216806,2025-01-15 10:00:00,2025-06-01
LP400,,,Laptop C,Housing,Housing,Aluminum,Ni,Aluminum,Ni,Laptop,,active,0,43.346117270912615,52.97858777555987,0,0,43.346117270912615,52.97858777555987,0,96.32470504647249,96.32470504647249,2025-01-15 10:00:00,2025-06-01
LP400,,,Laptop C,Housing,Housing,Aluminum,Co,Aluminum,Co,Laptop,,active,0,37.68635612523931,46.06110193084805,0,0,37.68635612523931,46.06110193084805,0,83.74745805608735,83.74745805608735,2025-01-15 10:00:00,2025-06-01
LP400,,,Laptop C,Housing,Housing,Aluminum,Fe,Aluminum,Fe,Laptop,,active,0,60.82486384064017,74.34150024967133,0,0,60.82486384064017,74.34150024967133,0,135.1663640903115,135.1663640903115,2025-01-15 10:00:00,2025-06-01
LP400,,,Laptop C,Housing,Housing,Aluminum,Si,Aluminum,Si,Laptop,,active,0,40.292431387413636,49.24630502906111,0,0,40.292431387413636,49.24630502906111,0,89.53873641647475,89.53873641647475,2025-01-15 10:00:00,2025-06-01
LP400,,,Laptop C,Housing,Housing,Aluminum,Cu,Aluminum,Cu,Laptop,,active,0,0.4819930013186408,0.5891025571672278,0,0,0.4819930013186408,0.5891025571672278,0,1.0710955584858686,1.0710955584858686,2025-01-15 10:00:00,2025-06-01
LP400,,,Laptop C,Battery,Battery,Elements,Zn,Elements,Zn,Laptop,,active,0,111.27242116393154,52.363492312438375,0,0,111.27242116393154,52.363492312438375,0,163.63591347636992,163.63591347636992,2025-01-15 10:00:00,2025-06-01
LP400,,,Laptop C,Battery,Battery,Elements,Sn,Elements,Sn,Laptop,,active,0,23.298325130282585,10.963917708368276,0,0,23.298325130282585,10.963917708368276,0,34.26224283865086,34.26224283865086,2025-01-15 10:00:00,2025-06-01
LP400,,,Laptop C,Battery,Battery,Elements,Ni,Elements,Ni,Laptop,,active,0,42.22925370578585,19.872589979193346,0,0,42.22925370578585,19.872589979193346,0,62.1018436849792,62.1018436849792,2025-01-15 10:00:00,2025-06-01
LP400,,,Laptop C,Display_assembly,Display_assembly,Plastic,Cr,Plastic,Cr,Laptop,,active,0,34.070016598936604,13.24945089958646,0,0,34.070016598936604,13.24945089958646,0,47.31946749852307,47.31946749852307,2025-01-15 10:00:00,2025-06-01
LP400,,,Laptop C,Display_assembly,Display_assembly,Plastic,Cu,Plastic,Cu,Laptop,,active,0,16.928278370326083,6.583219366237922,0,0,16.928278370326083,6.583219366237922,0,23.511497736564007,23.511497736564007,2025-01-15 10:00:00,2025-06-01
LP400,,,Laptop C,Display_assembly,Display_assembly,Plastic,Al,Plastic,Al,Laptop,,active,0,61.21970566887315,23.807663315672894,0,0,61.21970566887315,23.807663315672894,0,85.02736898454604,85.02736898454604,2025-01-15 10:00:00,2025-06-01
LP400,,,Laptop C,Display_assembly,Display_assembly,Plastic,Mg,Plastic,Mg,Laptop,,active,0,3.424392821140313,1.3317083193323442,0,0,3.424392821140313,1.3317083193323442,0,4.756101140472658,4.756101140472658,2025-01-15 10:00:00,2025-06-01
LP400,,,Laptop C,Display_assembly,Display_assembly,Plastic,Au,Plastic,Au,Laptop,,active,0,42.75760654072385,16.62795809917039,0,0,42.75760654072385,16.62795809917039,0,59.38556463989424,59.38556463989424,2025-01-15 10:00:00,2025-06-01
LP400,,,Laptop C,Keyboard,Keyboard,Plastic,Li,Plastic,Li,Laptop,,active,0,18.602020419914222,4.6505051049785555,0,0,18.602020419914222,4.6505051049785555,0,23.252525524892775,23.252525524892775,2025-01-15 10:00:00,2025-06-01
